Pitcher,difference
112526,6.29
276351,10.22
276542,21.75
279571,5.77
282332,10.06
285079,3.89
407793,3.55
407822,2.52
407845,11.28
424144,10.65
425844,13.48
429719,4.11
429722,10.04
430641,9.2
430912,8.64
430935,6.93
432934,6.42
433586,4.23
433587,4.06
433589,14.79
434378,5.08
434538,15.15
434622,4.6
434628,6.8
434671,3.83
444468,9.91
444857,6.47
445060,9.48
445197,4.07
445276,6.31
445926,5.3
446372,4.84
446399,3.31
446899,6.85
448306,5.04
448609,13.11
448614,1.57
448802,8.06
450172,3.96
450212,40.47
450308,12.08
450729,6.75
451584,4.86
451596,6.03
451661,9.82
452657,4.3
453172,3.73
453178,4.29
453192,8.67
453265,15.82
453286,14.03
453343,3.22
453562,2.75
456034,5.55
456068,5.43
456501,5.42
457918,6.07
458677,3.22
458708,5.34
459429,6.18
461325,6.97
461829,10.15
461833,6.39
462136,2.95
462382,6.63
465657,9.51
467008,2.49
471822,11.77
471911,8.48
472551,9.94
473879,7.25
474699,3.55
475243,5.67
475479,5.68
476451,3.93
476454,2.47
476589,2.81
477132,3.47
477569,10.13
488768,4.43
489119,8.89
489265,19.91
490063,9.36
493157,4.62
500779,7.2
501381,6.78
501822,11.68
501925,13.5
501957,3.11
502032,7.88
502042,7.38
502043,9.28
502046,6.03
502083,4.41
502085,0.77
502154,3.05
502188,1.7
502190,3.75
502239,6.19
502327,7.54
502381,16.21
502624,5.61
502706,8.45
503285,11.13
503449,4.69
504379,7.71
516969,12.52
517414,13.91
517593,4.71
518516,6.61
518553,5.57
518633,9.56
518716,5.89
518748,3.37
518875,2.28
518886,2.77
519076,3.0
519096,11.0
519141,8.72
519144,5.72
519240,14.3
519242,9.42
519322,10.12
519455,12.37
521230,5.44
523260,9.11
527048,9.39
527054,10.61
533167,9.78
534812,2.78
534910,8.59
541640,8.8
542960,10.98
543037,2.66
543144,13.53
543243,7.82
543272,12.6
543294,8.78
543359,2.39
543408,8.56
543475,6.57
543506,12.14
543521,3.93
543548,14.81
543606,7.85
543699,7.53
543766,11.51
543779,17.05
544928,13.48
544931,4.9
545333,5.71
547749,10.44
547888,5.15
547973,5.38
571561,6.71
571666,5.57
571704,11.57
571871,5.54
572020,7.48
572096,8.98
572888,11.52
572971,11.23
573109,14.26
573186,2.48
592102,4.34
592332,8.94
592662,5.88
592665,3.83
592836,3.97
593372,12.83
594798,3.82
595014,2.94
607259,14.82
608379,8.5
622072,7.34
628333,9.46
