count,StarterVsCloser
134,Starter
217,Reliever
223,Reliever
203,Starter
98,Starter
129,Starter
134,Starter
152,Starter
268,Reliever
257,Reliever
127,Starter
112,Starter
113,Starter
193,Reliever
76,Starter
121,Starter
116,Starter
256,Reliever
105,Starter
180,Starter
125,Starter
136,Starter
118,Starter
126,Starter
111,Starter
266,Reliever
108,Starter
100,Starter
266,Reliever
279,Reliever
162,Starter
135,Starter
262,Reliever
255,Reliever
125,Starter
228,Reliever
270,Starter
89,Starter
123,Starter
278,Reliever
100,Starter
102,Starter
268,Reliever
116,Starter
212,Starter
140,Starter
274,Reliever
126,Starter
278,Reliever
306,Reliever
136,Starter
262,Reliever
128,Starter
124,Starter
105,Starter
127,Starter
121,Starter
278,Reliever
97,Starter
232,Reliever
290,Reliever
127,Starter
85,Starter
141,Starter
251,Reliever
252,Reliever
281,Reliever
173,Reliever
128,Starter
236,Reliever
239,Reliever
100,Starter
217,Starter
173,Starter
102,Starter
288,Reliever
219,Starter
121,Starter
266,Reliever
106,Starter
126,Starter
239,Reliever
96,Starter
208,Reliever
132,Starter
89,Starter
191,Reliever
265,Reliever
121,Starter
162,Starter
133,Starter
117,Starter
88,Starter
189,Starter
254,Reliever
247,Reliever
129,Starter
123,Starter
134,Starter
112,Starter
269,Reliever
105,Starter
68,Starter
239,Reliever
94,Starter
214,Starter
300,Starter
215,Starter
101,Starter
124,Starter
237,Reliever
135,Starter
80,Starter
261,Reliever
213,Reliever
252,Reliever
105,Starter
233,Reliever
139,Starter
129,Starter
281,Reliever
122,Starter
239,Reliever
114,Starter
193,Starter
121,Starter
87,Starter
127,Starter
94,Starter
193,Reliever
53,Starter
152,Starter
249,Reliever
109,Starter
194,Reliever
114,Starter
223,Starter
110,Starter
241,Reliever
124,Starter
110,Starter
230,Starter
106,Starter
82,Starter
120,Starter
140,Starter
321,Reliever
233,Reliever
108,Starter
111,Starter
131,Starter
239,Reliever
109,Starter
249,Starter
166,Starter
106,Starter
252,Reliever
191,Reliever
70,Starter
240,Reliever
154,Starter
120,Starter
266,Reliever
100,Starter
294,Reliever
112,Starter
94,Starter
285,Reliever
91,Starter
154,Starter
111,Starter
223,Starter
88,Starter
108,Starter
112,Starter
87,Starter
