batter_id,count
116380,14
116539,5
120074,1
133380,24
134181,35
136860,21
150029,108
150093,9
150229,53
150289,13
150359,12
218596,2
276519,55
346795,13
346798,7
346857,6
346874,28
400085,74
400284,60
405395,16
406878,9
407781,53
407793,4
407812,58
407822,6
407862,9
407885,4
407890,8
408045,15
408047,7
408236,48
408252,12
408299,5
408314,30
421124,11
421685,14
424144,4
424325,6
424825,12
425491,3
425496,12
425509,23
425532,6
425560,48
425567,14
425766,7
425783,22
425784,28
425796,27
425834,50
425877,28
429400,2
429664,11
429665,15
429667,139
429713,40
429722,8
430321,6
430404,43
430580,3
430611,16
430637,12
430652,5
430832,38
430897,25
430910,11
430912,12
430945,8
430947,31
430948,30
431094,12
431145,22
431148,3
431171,30
433217,37
433584,6
434158,23
434540,15
434563,59
434604,31
434636,23
434658,8
434661,10
434670,7
434778,18
435041,17
435062,31
435063,27
435078,4
435180,4
435219,4
435263,29
435522,44
435559,8
435622,62
435623,16
444379,20
444482,19
444489,8
444843,21
444876,10
445055,30
445988,101
446263,18
446308,9
446334,25
446359,21
446381,15
446386,7
446481,9
446653,19
448170,11
448242,6
448296,10
448306,5
448602,32
448801,14
448802,3
449181,7
450172,5
450203,5
450314,30
451532,6
451594,12
451705,9
452104,41
452220,5
452234,24
452252,23
452254,42
452655,55
452657,9
452678,46
453056,23
453064,8
453178,7
453286,15
453400,26
453562,10
453568,35
453923,31
453943,20
454560,28
454975,4
455104,10
455117,5
455126,9
455139,9
455369,13
455755,34
455976,97
456078,20
456124,13
456422,39
456488,13
456655,11
456665,18
456715,16
456781,35
457454,21
457477,7
457705,41
457706,14
457708,47
457727,20
457759,59
457763,39
457787,40
457789,8
457803,43
457918,8
458015,36
458085,24
458582,33
458681,8
458731,47
458913,24
459431,18
459964,30
460026,14
460060,19
460075,37
460086,4
460131,8
460576,21
461235,13
461314,50
461416,30
461829,25
461865,13
462101,30
462405,5
462564,30
463610,10
465041,10
465784,28
466320,2
466988,7
467055,23
467092,64
467100,8
467143,11
467793,33
467827,25
468406,3
471083,46
471865,33
472528,8
474233,9
474319,2
474443,8
474568,34
474832,29
474892,10
475115,1
475174,26
475253,55
475479,12
475582,63
476451,19
476704,22
476883,34
477132,35
477165,9
477195,28
485567,19
488681,6
488689,11
488721,30
488768,7
488810,8
488818,11
488862,8
489138,24
489149,13
489232,11
489267,7
489305,10
489334,3
491696,6
492802,5
493114,16
493316,24
493329,8
493343,19
493351,8
499624,6
500207,7
500208,28
500743,43
500871,9
501303,11
501647,11
501800,25
501896,22
501981,7
501983,17
501986,6
502009,7
502032,13
502054,14
502100,24
502110,12
502125,9
502126,58
502210,20
502239,8
502261,2
502317,6
502481,5
502517,40
502582,6
502624,17
502671,57
504379,9
506560,29
506693,8
514888,23
514917,114
516416,29
516589,2
516770,33
516782,30
516910,4
516949,11
517369,7
517370,20
518466,5
518516,4
518586,10
518595,9
518614,26
518618,52
518626,55
518692,117
518735,36
518792,89
518794,6
518934,17
518953,7
518960,19
519023,8
519043,3
519058,13
519068,13
519076,13
519083,8
519184,118
519203,28
519208,5
519237,77
519299,16
519306,10
519317,71
519346,28
519390,14
519455,9
520471,131
521692,13
523253,20
523265,4
527054,5
534627,7
541645,8
541650,28
542194,12
542255,31
542303,72
542340,40
542436,9
542908,10
542963,11
542979,28
543045,7
543063,46
543135,4
543216,2
543228,13
543257,14
543281,44
543294,7
543305,3
543308,7
543333,20
543376,14
543401,27
543408,3
543543,23
543590,9
543685,96
543699,15
543760,11
543768,11
543776,10
543807,10
543829,92
543901,5
543939,42
544369,30
544371,7
544725,11
545341,17
545350,10
545358,9
545361,12
546318,132
547180,94
547912,7
547943,1
547982,9
548357,7
553988,9
553993,25
554234,4
554429,12
570256,33
570267,10
570560,19
570717,12
571431,29
571437,58
571448,21
571466,24
571506,62
571527,1
571602,12
571681,7
571697,28
571740,21
571757,4
571771,27
571825,11
571830,17
571875,33
571946,9
571976,41
571980,4
572000,5
572008,34
572019,8
572041,23
572114,11
572122,9
572128,12
572138,12
572180,8
572182,18
572191,41
572365,31
572761,57
572816,17
572821,17
572876,10
573131,20
573135,9
573185,6
575929,22
576397,19
581527,13
588751,54
591712,15
591720,7
591741,12
592178,48
592206,13
592273,24
592314,8
592387,13
592407,6
592444,5
592450,17
592518,13
592592,11
592593,8
592626,29
592662,24
592663,75
592669,23
592696,10
592743,69
592826,10
592885,129
593160,13
593372,7
593495,13
593647,12
593700,5
593871,12
594777,10
594798,12
594807,18
594824,17
594828,20
594988,7
595025,3
595144,5
595191,11
595281,8
595284,8
595375,13
595879,6
595885,5
595978,12
596019,19
596059,17
596112,3
596115,8
596142,30
596146,6
596748,83
600303,7
600474,4
600869,9
601713,5
605125,76
605137,14
605141,3
605222,6
605232,8
605388,5
605412,23
605480,20
605486,8
605540,5
605548,9
605894,8
606115,18
606131,6
606192,10
606299,9
607054,76
607208,11
607231,4
607309,4
607345,8
607374,7
607680,26
608061,6
608070,11
608324,12
608336,14
608337,4
608365,25
608369,23
608577,10
608671,11
608701,13
611177,49
620446,9
621020,19
621035,5
621043,8
621244,2
621311,8
621439,9
622072,22
622110,18
622194,11
622534,22
624424,9
624428,10
624577,45
628356,17
630111,25
640449,10
641319,5
641355,10
641553,9
643265,12
649557,8
656305,10
656941,6
