year,variable,value
2015,global_prior_SL_percent,0.11114859166807219
2016,global_prior_SL_percent,0.09407744874715263
2017,global_prior_SL_percent,0.0899557002079378
2015,global_prior_IN_percent,0.0074211502782931356
2016,global_prior_IN_percent,0.00592255125284738
2017,global_prior_IN_percent,0.004701202422927403
2015,global_prior_CH_percent,0.06054983977061899
2016,global_prior_CH_percent,0.2610478359908884
2017,global_prior_CH_percent,0.22728505560075943
2015,global_prior_FT_percent,0.533985495024456
2016,global_prior_FT_percent,0.37699316628701596
2017,global_prior_FT_percent,0.42256577163005155
2015,global_prior_FF_percent,0.28689492325855964
2016,global_prior_FF_percent,0.2619589977220957
2017,global_prior_FF_percent,0.2554922701383238
